Rnd,Pick,Pick Value,Tm,Player,Pos,Age,From,To,AP1,PB,St,wAV,DrAV,wAV vs Expected,wAV vs Expected and Year,Expected,G,Cmp,Pass Att,Pass Yds,Pass TD,Int,Rush Att,Rush Yds,Rush TD,Rec,Rec Yds,Rec TD,Solo,Int,Sk,College/Univ
1,6,1600,CLE,Kellen Winslow,TE,21,2004,2013,0,1,5,37,19,-7.1316702,-16.52035751,53.52035751,105,0,0,0,0,0,1,7,0,469,5236,25,,,,Miami (FL)
1,6,1600,TEN,Adam Jones,DB,21,2005,2018,1,1,6,50,13,5.8683298,-2.927245117,52.92724512,146,0,0,0,0,0,2,8,0,2,31,0,421,17,3,West Virginia
1,6,1600,SFO,Vernon Davis,TE,22,2006,2019,0,2,11,51,42,6.8683298,-1.289672906,52.28967291,198,0,0,0,0,0,6,15,0,583,7562,63,,,,Maryland
1,6,1600,WAS,LaRon Landry,DB,22,2007,2014,0,1,7,39,26,-5.1316702,-12.60138237,51.60138237,103,0,0,0,0,0,0,0,0,0,0,0,467,6,8,LSU
1,6,1600,NYJ,Vernon Gholston,DE,22,2008,2010,0,0,0,6,6,-38.1316702,-44.85476823,50.85476823,45,0,0,0,0,0,0,0,0,0,0,0,24,,,Ohio St.
1,6,1600,CIN,Andre Smith,T,22,2009,2021,0,0,8,41,37,-3.1316702,-9.040474327,50.04047433,121,0,0,0,0,0,0,0,0,0,0,0,,,,Alabama
1,6,1600,SEA,Russell Okung,T,21,2010,2020,0,2,9,56,31,11.8683298,6.853171168,49.14682883,131,0,0,0,0,0,0,0,0,0,0,0,1,,,Oklahoma St.
1,6,1600,ATL,Julio Jones,WR,22,2011,2022,2,7,9,100,97,55.8683298,51.84096343,48.15903657,155,0,0,0,0,0,24,163,0,903,13629,63,2,,,Alabama
1,6,1600,DAL,Morris Claiborne,DB,22,2012,2019,0,0,5,25,13,-19.1316702,-22.0579933,47.0579933,85,0,0,0,0,0,0,0,0,0,0,0,213,7,,LSU
1,6,1600,CLE,Barkevious Mingo,LB,22,2013,2020,0,0,2,24,10,-20.1316702,-21.81849115,45.81849115,126,0,0,0,0,0,1,11,0,0,0,0,179,1,12.5,LSU
1,6,1600,ATL,Jake Matthews,T,22,2014,2022,0,1,9,65,65,20.8683298,20.59359663,44.40640337,145,0,0,0,0,0,0,0,0,0,0,0,,,,Texas A&M
1,6,1600,NYJ,Leonard Williams,DE,21,2015,2022,0,1,7,52,32,7.8683298,9.225925145,42.77407485,124,0,0,0,0,0,0,0,0,0,0,0,224,1,38,USC
1,6,1600,BAL,Ronnie Stanley,T,22,2016,2022,1,1,5,43,43,-1.1316702,2.147628365,40.85237164,74,0,0,0,0,0,0,0,0,0,0,0,1,,,Notre Dame
1,6,1600,NYJ,Jamal Adams,DB,21,2017,2022,1,3,5,42,29,-2.1316702,3.46394995,38.53605005,71,0,0,0,0,0,0,0,0,0,0,0,328,4,21.5,LSU
1,6,1600,IND,Quenton Nelson,G,22,2018,2022,3,5,5,55,55,10.8683298,19.34549937,35.65450063,78,0,0,0,0,0,1,0,0,0,0,0,1,,,Notre Dame
1,6,1600,NYG,Daniel Jones,QB,22,2019,2022,0,0,4,38,38,-6.1316702,6.09361548,31.90638452,54,1113,1740,11603,60,34,292,1708,12,1,16,0,,,,Duke
1,6,1600,LAC,Justin Herbert,QB,22,2020,2022,0,1,3,43,43,-1.1316702,16.31123604,26.68876396,49,1316,1966,14089,94,35,172,683,8,2,-10,0,2,,,Oregon
1,6,1600,MIA,Jaylen Waddle,WR,22,2021,2022,0,0,2,19,19,-25.1316702,0.4733117207,18.52668828,33,0,0,0,0,0,5,29,1,179,2371,14,4,,,Alabama
1,6,1600,CAR,Ikem Ekwonu,T,21,2022,2022,0,0,1,7,7,-37.1316702,4.94565,2.05435,17,0,0,0,0,0,0,0,0,0,0,0,,,,North Carolina St.
1,7,1500,ARI,Thomas Jones,RB,22,2000,2011,0,1,9,62,7,19.1262092,8.028928753,53.97107125,180,1,1,-4,0,0,2678,10591,68,308,2023,3,,,,Virginia
